DAN,TEMP
594,-0.13
595,-5.56
596,-10.68
597,-7.07
598,6.46
599,5.36
600,3.72
602,2.31
603,0.79
604,6.41
605,15.42
606,13.62
607,14.72
608,13.41
609,15.71
610,12.87
611,0.27
612,-3.00
613,0.40
614,1.94
615,6.12
616,5.08
617,1.44
618,-2.13
619,-1.50
620,5.20
621,13.06
622,16.60
623,7.53
624,-0.06
625,-2.40
626,-8.13
627,-6.27
628,-6.75
629,-3.57
630,-1.93
631,-0.13
632,5.13
633,4.40
634,3.49
635,10.30
636,12.12
637,1.60
638,3.19
639,4.07
640,6.27
641,6.07
642,5.53
643,13.00
644,16.60
645,10.20
646,8.40
647,12.62
648,17.22
649,11.67
650,10.50
651,15.72
652,11.69
653,12.07
654,15.00
655,19.93
656,19.63
657,4.50
658,9.87
659,13.00
660,10.88
661,17.06
662,19.74
663,17.87
664,13.40
665,12.87
666,8.69
667,8.20
668,16.25
669,19.81
670,17.81
671,20.74
672,13.74
673,3.69
674,0.88
675,8.80
676,12.33
677,7.69
678,3.07
679,15.06
680,17.44
681,19.37
682,24.06
683,19.13
684,17.75
685,20.32
686,20.93
687,16.92
688,18.13
689,22.06
690,25.20
691,27.60
692,16.73
693,26.60
694,19.60
695,11.50
696,12.07
697,7.07
698,9.31
699,17.73
700,14.87
701,15.46
702,20.53
703,24.62
704,21.00
705,20.94
706,16.94
707,14.14
708,22.73
709,25.21
710,30.67
711,29.27
712,30.93
713,26.87
714,26.47
715,29.81
716,27.40
717,28.36
718,33.87
719,21.79
720,21.53
721,28.40
722,27.31
723,28.27
724,27.46
725,27.80
726,21.06
727,21.50
728,23.28
729,26.53
730,19.81
731,21.61
732,14.68
733,19.33
734,20.67
735,23.75
736,25.21
737,22.62
738,23.39
739,22.93
740,25.21
741,27.00
742,28.94
743,31.19
744,32.47
745,25.93
746,26.78
747,26.93
748,28.20
749,28.29
750,29.15
751,18.93
752,22.62
753,32.40
754,27.74
755,32.08
756,25.36
757,23.79
758,29.00
759,26.79
760,30.78
761,23.65
762,24.60
763,27.21
764,27.07
765,28.21
766,27.87
767,27.86
768,28.67
769,29.00
770,30.14
771,26.78
772,13.00
773,24.43
774,23.93
775,21.41
776,25.80
777,27.20
778,18.79
779,21.73
780,24.60
781,25.79
782,19.80
783,22.20
784,24.69
785,24.53
786,21.86
787,21.60
788,26.00
789,28.14
790,21.73
791,22.87
792,23.54
793,22.06
794,20.92
795,18.47
796,21.85
797,21.99
798,25.20
799,25.93
800,21.20
801,21.43
802,26.40
803,28.53
804,23.00
805,16.20
806,18.13
807,22.54
808,19.66
809,23.14
810,25.66
811,26.60
812,28.80
813,29.67
814,30.86
815,26.50
816,21.73
817,18.20
818,13.14
819,26.00
820,23.13
821,27.00
822,33.13
823,30.64
824,31.08
825,16.42
826,17.33
827,17.73
828,22.33
829,16.93
830,19.67
831,16.14
832,19.36
833,16.92
834,14.93
835,16.53
836,13.21
837,17.80
838,21.07
839,10.72
840,11.15
841,12.71
842,17.33
843,15.13
844,12.47
